# List of RCMModelName values for CORDEX 
# Do not change this file, its auto-generated based on the contents 
# of the CORDEX coordination sheet at: 
# https://github.com/IS-ENES-Data/cordex-doc/blob/master/Sheets/CORDEX_ESGF_coordination_issues.xlsx 
# Timestamp: 2014-04-09 18:52:57
# -------------------------------------------------------------- 
#  name                   institute      status         ToU            
#--------------------------------------------------------------- 
AUTH-LHTEE-WRF321B       WRF321B        confirmed      unknown        
AUTH-Met-WRF331A         WRF331A        confirmed      unknown        
AWI-HIRHAM5              HIRHAM5        confirmed      unknown        
BCCR-WRF331C             WRF331C        confirmed      unrestricted   
CHMI-ALADIN52            ALADIN52       confirmed      unknown        
CLMcom -CCLM4-8-17       CCLM4-8-17     confirmed      non-commercial only
CLMcom-CCLM4-8-17        CCLM4-8-17     confirmed      non-commercial only
CNRM-ALADIN52            ALADIN52       confirmed      unrestricted   
CNRM-ARPEGE52            ARPEGE52       confirmed      unrestricted   
CRP-GL-WRF331A           WRF331A        confirmed      unrestricted   
CUNI-RegCM4-2            RegCM4-2       confirmed      unknown        
DHMZ-RegCM4-2            RegCM4-2       confirmed      non-commercial only
DMI-HIRHAM5              HIRHAM5        confirmed      unrestricted   
HMS-ALADIN52             ALADIN52       confirmed      unknown        
ICTP-RegCM4-3            RegCM4-3       confirmed      unknown        
IDL-WRF331D              WRF331D        confirmed      unknown        
IPSL-INERIS-WRF331F      WRF331F        confirmed      unknown        
KNMI-RACMO21P            RACMO21P       confirmed      unrestricted   
KNMI-RACMO22E            RACMO22E       confirmed      unrestricted   
KNMI-RACMO22T            RACMO22T       confirmed      unrestricted   
MIUB-WRF331A             WRF331A        confirmed      unknown        
MOHC-HadGEM3-RA          HadGEM3-RA     confirmed      unrestricted   
MOHC-HadRM3P             HadRM3P        confirmed      unrestricted   
MPI-CSC-REMO2009         REMO2009       confirmed      unrestricted   
NUIM-WRF341E             WRF341E        confirmed      unknown        
SMHI-RCA4                RCA4           confirmed      unrestricted   
SMHI-RCA4-SN             RCA4-SN        confirmed      unrestricted   
SMHI-RCAO                RCAO           confirmed      unrestricted   
SMHI-RCAO-SN             RCAO-SN        confirmed      unrestricted   
UCAN-WRF331G             WRF331G        confirmed      unknown        
UCAN-WRF350I             WRF350I        confirmed      unknown        
UCLM-PROMES              PROMES         confirmed      unknown        
UHOH-WRF331H             WRF331H        confirmed      unknown        
UM-WRF331                WRF331         confirmed      unknown        
